Name,Casno,Formula,hit_prob,match_factor,reverse_match_factor,rt1,rt2,Area,Height
Acetone,67-64-1,C3H6O,79.71,902,905,4.8142619513207965,0.055220883534136546,1010694125.5294733,83931553.46383566
"Disiloxane, hexamethyl-",107-46-0,C6H18OSi2,67.21,922,924,7.773962436538026,0.15060240963855423,962551686.5307904,82248146.49301763
Acetone,67-64-1,C3H6O,78.98,887,890,4.772576028993793,0.8634538152610441,1004745642.7697585,83725370.52009167
Acetone,67-64-1,C3H6O,79.2,888,891,4.793418990157295,1.25,558093092.5624737,78925002.19752616
"Cyclopropane, ethylidene-",18631-83-9,C5H8,19.93,947,952,4.564146417358777,0.7429718875502008,3710481320.5966396,72770970.99863145
Isopropyl Alcohol,67-63-0,C3H8O,88.5,932,967,4.897633795974803,1.1194779116465863,596082749.2210121,82808565.16170369
"Disiloxane, hexamethyl-",107-46-0,C6H18OSi2,67.59,920,922,7.794805397701527,0.5973895582329317,320659867.02421093,66631729.16009528
"Cyclopropane, ethylidene-",18631-83-9,C5H8,17.48,949,953,4.543303456195275,0.29116465863453816,3023203887.1927724,63506188.09268474
Isopropyl Alcohol,67-63-0,C3H8O,82.88,941,963,4.939319718301807,0.30120481927710846,1683507195.3579447,78493954.16827351
"Cyclopropane, ethylidene-",18631-83-9,C5H8,22.83,959,963,4.584989378522279,1.1897590361445782,1996767126.6448312,57741956.461553805
"Disiloxane, hexamethyl-",107-46-0,C6H18OSi2,54.78,914,919,7.732276514211023,0.9487951807228916,1761222785.839425,56575489.585850455
Benzene,71-43-2,C6H6,60.81,959,961,7.982392048173043,0.8283132530120482,2988689977.557592,44124498.09220051
"1,3-Pentadiene, (Z)-",1574-41-0,C5H8,17.03,943,950,4.501617533868272,1.0893574297188755,1511124253.8393915,40919700.28046653
"Cyclopropane, ethylidene-",18631-83-9,C5H8,15.91,943,954,4.60583233968578,0.0,234800626.86443302,31468482.688440878
Nonanal,124-19-6,C9H18O,74.64,922,925,23.38534034800074,0.1355421686746988,1260891024.2993875,31172054.19983556
Benzene,71-43-2,C6H6,74.83,962,966,8.024077970500045,0.020080321285140562,1163414862.6892054,30377391.395971965
n-Hexane,110-54-3,C6H14,74.01,945,956,5.89809593182288,0.5170682730923695,796129290.7865014,29875518.327304546
Acetone,67-64-1,C3H6O,76.43,901,904,4.8142619513207965,0.09538152610441768,591826392.6698102,81175674.41459027
Acetone,67-64-1,C3H6O,78.19,889,892,4.8142619513207965,0.0050200803212851405,386342162.59764266,80795956.66033968
Benzene,71-43-2,C6H6,71.73,961,966,8.003235009336544,1.25,569152203.9352847,28796443.000878755
n-Hexane,110-54-3,C6H14,74.9,939,951,5.918938892986382,0.9688755020080321,637699601.3396479,25516517.892974228
Isopropyl Alcohol,67-63-0,C3H8O,87.52,944,959,4.918476757138304,0.015060240963855422,113754098.25164206,57368340.81049897
Acetone,67-64-1,C3H6O,75.8,920,932,4.751733067830291,0.3815261044176707,1547978993.4538894,27045619.031055924
"Cyclotetrasiloxane, octamethyl-",556-67-2,C8H24O4Si4,82.68,876,923,17.82026971734581,1.1395582329317269,466990187.703562,23048655.73088608
"Disiloxane, hexamethyl-",107-46-0,C6H18OSi2,64.33,923,931,7.81564835886503,1.0542168674698795,507244213.4730304,22790654.723162863
"Disiloxane, hexamethyl-",107-46-0,C6H18OSi2,48.18,910,917,7.711433553047522,0.5020080321285141,529408668.9121063,22700726.18436124
"1,4-Pentadiene",591-93-5,C5H8,20.3,940,965,4.626675300849282,0.3815261044176707,655709561.4999948,22476237.6838593
Benzene,71-43-2,C6H6,68.36,955,962,7.961549087009541,0.37650602409638556,1366958359.535393,22841483.398551196
"Cyclotetrasiloxane, octamethyl-",556-67-2,C8H24O4Si4,81.58,877,921,17.86195563967281,0.33634538152610444,448053045.4934585,21669488.1084794
Isopropyl Alcohol,67-63-0,C3H8O,90.33,932,966,4.897633795974803,1.1295180722891567,987978603.5956978,82717841.88244925
Isopropyl Alcohol,67-63-0,C3H8O,85.35,938,964,4.897633795974803,1.1746987951807228,953425980.6180403,80524757.07116497
Isopropyl Alcohol,67-63-0,C3H8O,90.24,930,969,4.897633795974803,1.0742971887550201,559302620.297971,81618129.46816537
Acetone,67-64-1,C3H6O,74.72,887,890,4.8142619513207965,0.12550200803212852,249666189.8272799,73683964.91717257
Isopropyl Alcohol,67-63-0,C3H8O,81.62,925,962,4.9601626794653075,0.7228915662650602,1512871178.6562798,36190415.60803157
Nonanal,124-19-6,C9H18O,67.17,909,913,23.40618330916424,0.5773092369477911,750940430.2960479,20346970.403387733
"2-Propanone, 1-methoxy-",5878-19-3,C4H8O2,68.35,812,830,4.8559478736478,0.5572289156626506,922056478.287217,51268745.872235104
Nonanal,124-19-6,C9H18O,66.62,908,912,23.343654425673737,0.9437751004016064,649827534.2408401,17965334.444714356
"1,4-Pentadiene",591-93-5,C5H8,20.26,931,960,4.480774572704771,0.642570281124498,436019375.68701506,15506769.215962524
1-Octene,111-66-0,C8H16,22.13,913,918,11.400637678987307,0.4919678714859438,392757312.60344833,15208692.318565423
n-Hexane,110-54-3,C6H14,75.5,945,958,5.877252970659379,0.06526104417670683,338069494.7456852,15256721.45892527
Dodecane,112-40-3,C12H26,23.51,919,927,25.011091318753866,0.21084337349397592,280471314.7275346,13981137.6327992
"Silanol, trimethyl-",1066-40-6,C3H10OSi,83.4,907,911,6.5859136502184334,0.8483935742971888,1307127391.466236,13454159.611118924
D-Limonene,5989-27-5,C10H16,19.44,875,883,20.092152484167485,0.025100401606425703,170402483.97090754,13432646.320415318
Isopropyl Alcohol,67-63-0,C3H8O,79.58,916,962,4.981005640628809,1.1847389558232932,164499928.36151484,17571928.400379308
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,70.74,780,932,45.999953210399994,0.677710843373494,12356539.430448519,12356539.430448519
Isopropyl Alcohol,67-63-0,C3H8O,74.97,910,966,5.001848601792311,0.0,224721745.17235285,13709899.965565253
"Heptane, 4-ethyl-2,2,6,6-tetramethyl-",62108-31-0,C13H28,15.47,876,897,18.48724447457786,0.3614457831325301,282769484.2412884,12045626.376001114
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,89.61,916,938,12.130141319709864,0.8132530120481928,276737044.6303003,11189467.137668822
"Cyclohexene, 1-methyl-4-(1-methylethenyl)-, (S)-",5989-54-8,C10H16,13.15,817,833,20.05046656184048,0.8333333333333334,171913848.49048743,11549109.097346954
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,88.87,914,935,12.109298358546363,0.3614457831325301,285489372.33044595,11097997.024921792
"Cyclotetrasiloxane, octamethyl-",556-67-2,C8H24O4Si4,82.83,869,920,17.799426756182307,0.6927710843373494,201356230.41283947,10539079.582846032
"Cyclotetrasiloxane, octamethyl-",556-67-2,C8H24O4Si4,82.4,872,919,17.882798600836313,0.7881526104417671,205950477.11535513,10486478.241734141
