Name,Casno,Formula,hit_prob,match_factor,reverse_match_factor,rt1,rt2,Area,Height
"Dodecanoic acid, methyl ester",111-82-0,C13H26O2,65.16,913,924,23.798443769441903,0.03355704697986577,626811441.3139141,28728610.49989962
"Octanoic acid, methyl ester",111-11-5,C9H18O2,74.65,895,909,13.266453909118635,0.03355704697986577,760878939.6860856,28442877.366394505
"Hexadecanoic acid, methyl ester",112-39-0,C17H34O2,74.05,940,942,32.457154800853914,0.06711409395973154,607123352.1418929,26030539.467405915
"Nonanoic acid, methyl ester",1731-84-6,C10H20O2,60.21,884,909,16.05555794327539,0.06711409395973154,730097154.4904512,25634650.38476771
Methyl tetradecanoate,124-10-7,C15H30O2,71.21,930,937,28.335941377249164,0.04194630872483222,543695770.3985347,23231392.677337527
"Decanoic acid, methyl ester",110-42-9,C11H22O2,64.02,888,902,18.761405140591645,0.06711409395973154,598009862.9864242,22205936.162672203
"Octanoic acid, methyl ester",111-11-5,C9H18O2,78.43,893,908,13.245639699908509,1.25,201142814.85345963,22496465.67339009
"Dodecanoic acid, methyl ester",111-82-0,C13H26O2,66.9,917,925,23.77762956023178,1.25,119333225.42069578,20092209.064062525
Methyl tetradecanoate,124-10-7,C15H30O2,71.22,935,942,28.315127168039037,1.25,80519170.32314914,14381776.730949469
"Nonanoic acid, methyl ester",1731-84-6,C10H20O2,62.81,890,913,16.034743734065263,1.25,68227730.94448262,12223961.179502793
Methyl stearate,112-61-8,C19H38O2,68.81,936,938,36.22452666788655,0.1174496644295302,208554397.21999973,9763902.042519264
"Docosanoic acid, methyl ester",929-77-1,C23H46O2,74.47,937,941,42.84344519670631,0.3859060402684564,215127397.72153398,9455053.269090753
"Eicosanoic acid, methyl ester",1120-28-1,C21H42O2,64.54,908,911,39.67968539676731,0.20973154362416108,212416882.51123178,9458301.021739982
"Decanoic acid, methyl ester",110-42-9,C11H22O2,65.64,889,906,18.74059093138152,1.25,52182966.6571995,9454265.040660746
"Palmitic Acid, TMS derivative",55520-89-3,C19H40O2Si,92.64,915,916,34.72590360475755,0.8640939597315436,185577953.9593988,8834961.080259172
"Tetracosanoic acid, methyl ester",2442-49-1,C25H50O2,89.02,942,946,45.799062904544066,0.6879194630872483,209513870.04971832,8642238.207064513
"Hexacosanoic acid, methyl ester",5802-82-4,C27H54O2,82.19,925,930,48.5673527294907,1.1996644295302012,189977669.6584627,7628210.086234551
"Hexadecanoic acid, methyl ester",112-39-0,C17H34O2,73.09,941,945,32.4363405916438,1.25,31904833.915041775,7494617.4574096
"Hexacosanoic acid, methyl ester",5802-82-4,C27H54O2,68.46,855,883,48.58816693870082,0.0,37515802.32742771,5015343.960933976
"Stearic acid, TMS derivative",18748-91-9,C21H44O2Si,88.41,905,912,38.222690752058554,0.9395973154362416,88166615.83539766,4866927.66247271
"Octacosanoic acid, methyl ester",55682-92-3,C29H58O2,79.83,872,873,51.460527809698085,0.5704697986577181,198646083.68151256,4419494.856063369
"Lactic Acid, 2TMS derivative",17596-96-2,C9H22O3Si2,79.83,891,964,11.580502963098505,0.3775167785234899,132047235.95116442,2957741.42661463
